74.68	234
74.73	161
74.75	78
74.83	248
74.85	258
74.88	162
74.98	160
75.10	149
75.10	156
75.18	141
75.18	205
75.20	169
75.28	164
75.30	237
75.35	193
75.38	165
75.40	216
75.55	189
75.68	509
75.72	388
76.48	179
77.73	89
78.18	178
78.38	69
78.80	268
83.35	260
83.73	239
84.13	207
84.13	247
84.13	249
84.30	251
84.40	213
84.43	266
84.45	240
84.48	267
84.53	233
84.68	198
84.75	234
84.83	190
84.93	250
85.05	218
85.08	243
85.20	265
85.23	193
85.25	200
85.33	222
85.38	237
85.38	255
85.43	172
85.45	262
85.50	214
85.60	173
85.60	205
85.75	15
85.88	261
86.18	231
86.20	208
86.25	256
86.28	212
86.30	19
86.40	182
86.45	236
86.65	8
86.68	252
86.70	258
86.78	259
86.80	228
87.15	181
87.20	216
87.20	226
87.30	189
87.38	227
87.43	204
87.45	224
87.50	202
87.55	26
87.63	254
87.73	223
87.75	192
87.85	179
87.93	248
87.98	16
88.08	210
88.18	201
88.23	241
88.25	197
88.30	221
88.40	230
88.55	220
88.70	194
88.90	178
88.90	184
89.00	225
89.03	191
89.20	185
89.20	188
89.33	176
89.40	195
89.55	268
89.80	246
89.85	171
90.15	180
90.33	245
90.68	235
90.73	232
90.98	206
91.08	183
91.13	186
91.28	187
91.43	174
91.48	242
91.48	244
91.58	253
91.65	229
91.68	203
91.85	215
91.88	196
91.93	175
91.95	211
92.15	207
92.28	217
92.35	238
92.55	209
92.80	213
92.80	247
92.95	233
93.23	264
93.28	177
93.28	234
93.43	243
93.78	219
93.85	193
93.85	222
94.13	150
94.23	263
94.25	147
94.25	151
94.25	260
94.30	198
94.40	154
94.43	158
94.45	155
94.48	143
94.48	157
94.50	239
94.60	140
94.65	144
94.68	148
94.73	153
94.80	173
94.80	257
94.85	205
95.00	146
95.15	160
95.25	161
95.28	212
95.38	156
95.48	162
95.55	136
95.55	172
95.58	149
95.73	208
95.75	164
95.90	236
101.85	237
102.15	204
103.03	12
103.33	242
104.15	233
104.30	234
104.80	193
105.28	212
105.93	224
106.33	216
106.93	226
107.20	202
107.38	223
107.63	205
108.20	215
108.98	236
109.53	235
109.73	206
110.02	1029
110.13	192
110.25	214
111.95	213
112.15	232
113.25	222
113.29	852
113.63	196
113.64	815
113.98	926
114.65	212
116.08	42
116.75	116
116.95	147
117.03	975
117.85	150
118.28	144
118.28	151
118.38	885
118.51	1024
118.53	154
118.68	143
119.08	140
119.93	75
120.45	962
120.63	887
121.02	843
121.43	214
121.50	25
121.53	21
121.55	28
121.59	966
121.63	77
121.66	842
122.06	844
122.21	894
122.33	6
122.76	1056
122.78	3
122.88	10
122.91	811
123.08	981
123.63	1055
123.68	213
123.74	881
124.28	822
124.29	818
124.45	825
125.63	916
125.88	958
125.99	1050
126.00	71
126.10	84
126.12	997
126.15	917
126.63	828
126.64	913
126.82	834
127.02	974
127.03	960
127.33	1004
127.51	1005
127.73	1067
127.75	821
127.88	1003
127.91	1046
127.93	245
128.03	1057
128.07	995
128.15	106
128.20	219
128.28	107
128.35	246
128.66	1016
128.70	856
128.81	956
128.89	923
128.98	865
128.99	1009
129.08	921
129.19	884
129.23	103
129.59	968
129.80	963
129.98	194
130.02	1036
130.16	1000
130.23	1045
130.25	1025
130.25	1047
130.35	195
130.42	994
130.48	837
130.62	893
130.65	1049
130.68	810
130.72	903
130.73	193
130.82	942
130.84	1013
130.90	46
130.90	111
131.19	1075
131.29	979
131.38	55
131.48	987
131.49	989
131.50	206
131.50	236
131.67	1007
131.68	870
131.70	1014
131.75	816
131.96	1022
132.00	150
132.02	990
132.03	113
132.18	945
132.19	940
132.28	185
132.40	215
132.48	74
132.48	999
132.53	83
132.70	895
132.70	93
132.71	862
132.71	954
132.73	1062
132.80	226
132.89	857
132.96	934
132.96	866
133.05	60
133.05	235
133.10	203
133.10	876
133.23	976
133.37	847
133.40	1048
133.52	826
133.56	869
133.58	905
133.72	930
133.80	874
133.83	204
133.87	931
133.98	943
133.99	1054
134.08	863
134.15	75
134.21	1052
134.21	927
134.25	184
134.37	1041
134.52	955
134.53	47
134.56	973
134.58	66
134.58	85
134.60	56
134.63	212
134.66	839
134.66	853
134.70	52
134.83	1038
134.85	59
134.91	964
134.95	187
135.01	972
135.05	1068
135.13	877
135.25	1044
135.26	932
135.26	985
135.27	831
135.34	906
135.40	130
